职位名称,公司名,地点,薪资
Python开发工程师,“前程无忧”51job.com（上海）,上海,
Python 开发,上海点明信息技术有限公司,上海-浦东新区,1.5-2万/月
Python工程师,深圳斯达领科网络科技有限公司,深圳-龙岗区,0.8-1.6万/月
python教师,广州编辅侠教育科技有限公司,广州-花都区,6-8千/月
爬虫软件工程师(python),智慧工匠科技有限公司,武汉-武昌区,0.8-1.6万/月
Python开发工程师,武汉飞脉科技有限责任公司,武汉-洪山区,3-4.5千/月
Python开发工程师,深圳市杉岩数据技术有限公司,深圳,1.2-1.8万/月
Python开发工程师,郑州软通合力计算机技术有限公司,异地招聘,5-7千/月
Python开发工程师,深圳楚星软件有限公司,深圳-南山区,1.2-1.8万/月
Python开发工程师,武汉海星通技术股份有限公司,武汉-江汉区,0.7-1万/月
YX03-Python开发工程师,云南远信科技有限公司,昆明-官渡区,6-8千/月
课程开发--Scratch/Python,上海印立教育科技有限公司,上海-嘉定区,1-1.5万/月
Python开发工程师,深圳合生网络科技有限公司,深圳-福田区,1-2万/月
python研发工程师,洛阳众智软件科技股份有限公司,洛阳,4.5-6千/月
Python开发工程师,重庆瑞众联科技有限公司,重庆-渝北区,3-5千/月
python自动化测试工程师,深圳市银河通信科技有限公司,深圳-南山区,0.8-1.3万/月
python,深圳市睿服科技有限公司,深圳-龙华新区,1-1.5万/月
Python高级开发工程师,武汉小安科技有限公司,武汉-洪山区,1-1.5万/月
python,深圳市炽火网络科技有限公司,深圳-罗湖区,1.5-3.5万/月
少儿编程老师-Python,卡巴Kabba（郑州）青少年教育,郑州-金水区,6-8千/月
python开发工程师（算法方向）,浙江康旭科技有限公司,杭州-西湖区,1-1.5万/月
Python开发工程师,上海沪万智能科技有限公司,上海-长宁区,0.7-1.5万/月
爬虫python(J10286),上海耸智信息科技有限公司,上海-浦东新区,6-8千/月
Python开发工程师,上海微创软件股份有限公司,苏州,1.1-1.8万/月
Python工程师助理6913,OPPO广东移动通信有限公司,深圳-南山区,0.8-1.3万/月
Python软件开发工程师（信息所）,浙江清华长三角研究院,嘉兴,1-2万/月
Python开发工程师,武汉星驿动网络科技有限公司,武汉,1.2-2万/月
Python开发工程师,上海宽带技术及应用工程研究中心,上海-静安区,1-1.5万/月
高级Python研发工程师,青岛艾德软件有限公司,青岛-黄岛区,1.2-1.5万/月
Python开发工程师,江苏筑牛网络科技有限公司苏州运营...,苏州-姑苏区,1-1.5万/月
Python开发工程师,松下信息系統（上海）有限公司,无锡,0.8-1.5万/月
python数据分析师,上海澳马信息技术服务有限公司,上海-浦东新区,1-2万/月
Python开发工程师（北京）,北京超图软件股份有限公司,北京,
开发工程师（Python方向）,因诺（上海）资产管理有限公司,北京,
Python开发工程师,河南拓普计算机网络工程有限公司,郑州,
Python/Go研发工程师,北京国双科技有限公司,北京,
Python开发工程师,南京擎盾信息科技有限公司,北京,
Python,北京海量数据技术股份有限公司,杭州,
Python开发工程,杭州鲸算科技有限公司,北京,
Python开发工程师,深圳市有为信息技术发展有限公司,深圳,
Python 开发工程师,乐鑫信息科技（上海）股份有限公司...,上海,
Python高级开发工程师,杭州博彦信息技术有限公司,杭州-余杭区,2-2.5万/月
软件测试工程师(Selenium+Python和Jmeter),深圳店管家软件有限公司,深圳-福田区,0.6-1万/月
Python高级开发工程师（AI分析）,杭州祐全科技发展有限公司,杭州-余杭区,1.6-3万/月
python工程师,深圳市乐人人科技有限公司,深圳-福田区,0.8-1万/月
Python 物联网开发工程师/主管,广州光筑华照工程设计有限公司,深圳-南山区,1-2万/月
Python/PHP后端程序员,上海萌果信息科技有限公司,上海-徐汇区,1-1.5万/月
Python开发工程师,扬州航盛科技有限公司,扬州,0.8-1.2万/月
python开发,上海煜暖实业有限公司,上海-浦东新区,6-8千/月
Python数据分析师,上海软科教育信息咨询有限公司,上海-闵行区,0.8-1.5万/月
python工程师,广州易来特自动驾驶科技有限公司,广州-天河区,6.9-8.9千/月
高级软件工程师  Golang/Python,迈韦尼通讯技术（上海）有限公司,上海-长宁区,2-6万/月
Python开发工程师,上海新大陆翼码信息科技股份有限公...,上海,1-3万/月
